run,step,layer,t,dim,p_at_L_5_linear,p_at_L_5_mlp,p_at_L,p_at_L_2,p_at_L_5,contact_n_test,cath_level,cath_acc,cath_f1,cath_classes,manifest,ckpt_path,error
repa_l4_256,400000,0,0.50,512,0.1158,0.1390,0.1242,0.1327,0.1390,39,T,0.7000,0.6667,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,1,0.50,512,0.1301,0.1500,0.1280,0.1372,0.1500,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,2,0.50,512,0.2029,0.2297,0.1656,0.1954,0.2297,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,3,0.50,512,0.2484,0.2538,0.1865,0.2152,0.2538,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,4,0.50,512,0.2382,0.2941,0.2246,0.2551,0.2941,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,5,0.50,512,0.2585,0.2739,0.2055,0.2345,0.2739,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,6,0.50,512,0.2463,0.2806,0.2066,0.2379,0.2806,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,7,0.50,512,0.2594,0.2706,0.2071,0.2394,0.2706,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,8,0.50,512,0.2628,0.2806,0.2042,0.2390,0.2806,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,9,0.50,512,0.2588,0.2858,0.2077,0.2364,0.2858,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l9_256,400000,0,1.00,512,0.8801,0.8880,0.6351,0.7926,0.8880,39,T,0.3000,0.2963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l9_256_per_residue/checkpoints/chk_epoch=00000025_step=000000400000-EMA.ckpt,
repa_l9_256,400000,1,1.00,512,0.8259,0.8407,0.5715,0.7269,0.8407,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l9_256_per_residue/checkpoints/chk_epoch=00000025_step=000000400000-EMA.ckpt,
repa_l9_256,400000,2,1.00,512,0.7743,0.8048,0.5378,0.6770,0.8048,39,T,0.7000,0.6667,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l9_256_per_residue/checkpoints/chk_epoch=00000025_step=000000400000-EMA.ckpt,
